Name,WHO.Region,Cases_cumulative.total,Cases_cumulative.total.per.100000.population,Cases_newly.reported.in.last.7.days,Cases_newly.reported.in.last.7.days.per.100000.population,Cases_newly.reported.in.last.24.hours,Death_cumulative.total,Deaths_cumulative.total.per.100000.population,Deaths_newly.reported.in.last.7.days,Deaths_newly.reported.in.last.7.days.per.100000.population,Deaths_newly.reported.in.last.24.hours,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Morocco,Eastern Mediterranean,1265589,3428.799,200,0.542,17,16281,44.109,1,0.003,0,10/24/2022,55307389,25008403,149.842,67.754,23506543,63.685,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",1/28/2021,10,6890156,18.667
Mozambique,Africa,230475,737.392,0,0,0,2224,7.116,0,0,0,10/16/2022,19387285,18541300,62.029,59.322,13525638,43.275,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",3/8/2021,3,730177,2.336
Myanmar,South-East Asia,631625,1160.866,883,1.623,0,19482,35.806,5,0.009,0,6/18/2022,64549994,34777314,118.637,63.917,27545329,50.626,"Beijing CNBG - BBIBP-CorV,SII - Covishield",1/27/2021,2,2227351,4.094
Namibia,Africa,169891,6686.24,0,0,0,4080,160.573,0,0,0,10/16/2022,959780,594323,37.773,23.39,517365,20.361,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",3/19/2021,4,159381,6.273
Nauru,Western Pacific,4610,42551.228,0,0,0,1,9.23,0,0,0,7/11/2022,24143,10493,222.845,96.853,8585,79.241,"AstraZeneca - Vaxzevria,SII - Covishield",4/9/2021,2,5065,46.751
Nepal,South-East Asia,1000556,3433.993,61,0.209,6,12019,41.25,0,0,0,10/23/2022,59118206,27290944,202.899,93.665,23389561,80.275,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",1/27/2021,8,8437701,28.959
Netherlands,Europe,8511830,48897.248,10650,61.18,0,22811,131.041,38,0.218,0,9/11/2022,36105753,12776868,207.4,73.398,11957152,68.689,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",1/6/2021,6,9417108,54.098
New Caledonia,Western Pacific,74406,26061.829,59,20.666,0,314,109.983,0,0,0,9/26/2022,469252,191568,164.363,67.1,184013,64.453,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty",1/20/2021,2,93671,32.81
New Zealand,Western Pacific,1832894,38009.238,21342,442.575,0,2106,43.673,11,0.228,0,10/14/2022,11804115,4255739,244.785,88.252,4095363,84.927,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",2/19/2021,4,2710218,56.203
Nicaragua,Americas,15166,228.936,21,0.317,0,245,3.698,0,0,0,10/21/2022,11890941,6097152,179.498,92.039,5793789,87.459,"AstraZeneca - Vaxzevria,CIGB - CIGB-66,Finlay - Soberana Plus,Finlay - Soberana-02,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",3/3/2021,9,NA,NA
Niger,Africa,9428,38.948,3,0.012,0,314,1.297,0,0,0,10/16/2022,4544735,3742019,18.775,15.459,2990498,12.354,"Beijing CNBG - BBIBP-CorV,SII - Covishield",3/29/2021,2,NA,NA
Nigeria,Africa,266138,129.106,95,0.046,0,3155,1.531,0,0,0,10/16/2022,83127883,57013442,40.326,27.658,44261782,21.472,SII - Covishield,3/5/2021,1,4999691,2.425
Niue,Western Pacific,85,5253.399,0,0,0,0,0,0,0,0,8/2/2022,4180,1650,258.344,101.978,1436,88.752,Pfizer BioNTech - Comirnaty,6/8/2021,1,1094,67.614
North Macedonia,Europe,344075,16515.23,225,10.8,0,9564,459.062,5,0.24,0,10/9/2022,1861953,854335,89.4,41.148,837932,40.358,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac,Wuhan CNBG - Inactivated",2/17/2021,7,161328,7.77
